Neighborhood,Year,Predicted Home Value
Clayton,2032,588455.0
Clayton,2033,604494.15
Clayton,2034,620533.3
Clayton,2035,636572.46
Cole,2024,515213.23
Cole,2025,533271.32
Cole,2026,551329.4
Cole,2027,569387.49
Cole,2028,587445.57
Cole,2029,605503.66
Cole,2030,623561.74
Cole,2031,641619.83
Cole,2032,659677.91
Cole,2033,677736.0
Cole,2034,695794.08
Cole,2035,713852.17
College View - South Platte,2024,363337.11
College View - South Platte,2025,375717.02
College View - South Platte,2026,388096.93
College View - South Platte,2027,400476.84
College View - South Platte,2028,412856.75
College View - South Platte,2029,425236.66
College View - South Platte,2030,437616.57
College View - South Platte,2031,449996.48
College View - South Platte,2032,462376.39
College View - South Platte,2033,474756.3
College View - South Platte,2034,487136.21
College View - South Platte,2035,499516.12
Congress Park,2024,749367.09
Congress Park,2025,772510.63
Congress Park,2026,795654.18
Congress Park,2027,818797.73
Congress Park,2028,841941.28
Congress Park,2029,865084.82
Congress Park,2030,888228.37
Congress Park,2031,911371.92
Congress Park,2032,934515.47
Congress Park,2033,957659.01
Congress Park,2034,980802.56
Congress Park,2035,1003946.11
Cory - Merrill,2024,817674.68
Cory - Merrill,2025,840887.37
Cory - Merrill,2026,864100.06
Cory - Merrill,2027,887312.75
Cory - Merrill,2028,910525.44
Cory - Merrill,2029,933738.13
Cory - Merrill,2030,956950.82
Cory - Merrill,2031,980163.5
Cory - Merrill,2032,1003376.19
Cory - Merrill,2033,1026588.88
Cory - Merrill,2034,1049801.57
Cory - Merrill,2035,1073014.26
Country Club,2024,1430430.97
Country Club,2025,1471831.28
Country Club,2026,1513231.59
Country Club,2027,1554631.9
Country Club,2028,1596032.21
Country Club,2029,1637432.53
Country Club,2030,1678832.84
Country Club,2031,1720233.15
Country Club,2032,1761633.46
Country Club,2033,1803033.77
Country Club,2034,1844434.08
Country Club,2035,1885834.4
Denver International Airport,2024,388269.37
Denver International Airport,2025,408905.18
Denver International Airport,2026,429541.0
Denver International Airport,2027,450176.82
Denver International Airport,2028,470812.63
Denver International Airport,2029,491448.45
Denver International Airport,2030,512084.27
Denver International Airport,2031,532720.08
Denver International Airport,2032,553355.9
Denver International Airport,2033,573991.72
Denver International Airport,2034,594627.53
Denver International Airport,2035,615263.35
East Colfax,2024,387946.39
East Colfax,2025,401135.35
East Colfax,2026,414324.3
East Colfax,2027,427513.26
East Colfax,2028,440702.21
East Colfax,2029,453891.17
East Colfax,2030,467080.12
East Colfax,2031,480269.08
East Colfax,2032,493458.03
East Colfax,2033,506646.99
East Colfax,2034,519835.94
East Colfax,2035,533024.9
Elyria Swansea,2024,308416.95
Elyria Swansea,2025,318232.4
Elyria Swansea,2026,328047.85
Elyria Swansea,2027,337863.31
Elyria Swansea,2028,347678.76
Elyria Swansea,2029,357494.21
Elyria Swansea,2030,367309.66
Elyria Swansea,2031,377125.11
Elyria Swansea,2032,386940.56
Elyria Swansea,2033,396756.01
Elyria Swansea,2034,406571.46
Elyria Swansea,2035,416386.92
Five Points,2024,583984.35
Five Points,2025,601137.39
Five Points,2026,618290.42
Five Points,2027,635443.46
Five Points,2028,652596.5
Five Points,2029,669749.53
Five Points,2030,686902.57
Five Points,2031,704055.61
Five Points,2032,721208.64
Five Points,2033,738361.68
Five Points,2034,755514.72
Five Points,2035,772667.75
Fort Logan,2024,497822.44
Fort Logan,2025,512958.62
Fort Logan,2026,528094.79
Fort Logan,2027,543230.97
Fort Logan,2028,558367.14
Fort Logan,2029,573503.32
Fort Logan,2030,588639.5
Fort Logan,2031,603775.67
Fort Logan,2032,618911.85
Fort Logan,2033,634048.02
Fort Logan,2034,649184.2
Fort Logan,2035,664320.37
Gateway - Green Valley Ranch,2024,419709.67
Gateway - Green Valley Ranch,2025,432444.0
Gateway - Green Valley Ranch,2026,445178.33
Gateway - Green Valley Ranch,2027,457912.66
Gateway - Green Valley Ranch,2028,470646.99
Gateway - Green Valley Ranch,2029,483381.33
Gateway - Green Valley Ranch,2030,496115.66
Gateway - Green Valley Ranch,2031,508849.99
Gateway - Green Valley Ranch,2032,521584.32
Gateway - Green Valley Ranch,2033,534318.66
Gateway - Green Valley Ranch,2034,547052.99
Gateway - Green Valley Ranch,2035,559787.32
Globeville,2024,347155.15
Globeville,2025,361336.11
Globeville,2026,375517.07
Globeville,2027,389698.03
Globeville,2028,403878.99
Globeville,2029,418059.95
Globeville,2030,432240.92
Globeville,2031,446421.88
Globeville,2032,460602.84
Globeville,2033,474783.8
Globeville,2034,488964.76
Globeville,2035,503145.72
Goldsmith,2024,443742.58
Goldsmith,2025,457869.7
Goldsmith,2026,471996.82
Goldsmith,2027,486123.94
Goldsmith,2028,500251.07
Goldsmith,2029,514378.19
Goldsmith,2030,528505.31
Goldsmith,2031,542632.44
Goldsmith,2032,556759.56
Goldsmith,2033,570886.68
Goldsmith,2034,585013.8
Goldsmith,2035,599140.93
Hale,2024,593362.89
Hale,2025,612144.63
Hale,2026,630926.36
Hale,2027,649708.1
Hale,2028,668489.83
Hale,2029,687271.57
Hale,2030,706053.31
Hale,2031,724835.04
Hale,2032,743616.78
Hale,2033,762398.52
Hale,2034,781180.25
Hale,2035,799961.99
Hampden,2024,468295.21
Hampden,2025,482494.62
Hampden,2026,496694.03
Hampden,2027,510893.45
Hampden,2028,525092.86
Hampden,2029,539292.27
Hampden,2030,553491.68
Hampden,2031,567691.09
Hampden,2032,581890.5
Hampden,2033,596089.91
Hampden,2034,610289.32
Hampden,2035,624488.73
Hampden South,2024,466455.11
Hampden South,2025,479521.66
Hampden South,2026,492588.22
Hampden South,2027,505654.77
Hampden South,2028,518721.32
Hampden South,2029,531787.87
Hampden South,2030,544854.42
Hampden South,2031,557920.97
Hampden South,2032,570987.52
