,Neighborhood,Date,Price,Year,Month,TimeIndex,Month_sin,Month_cos
0,Gateway - Green Valley Ranch,2000-01-31,159100.74444150086,2000,1,1,0.49999999999999994,0.8660254037844387
1,Montbello,2000-01-31,126411.5097042129,2000,1,1,0.49999999999999994,0.8660254037844387
3,Hampden,2000-01-31,166128.05307008766,2000,1,1,0.49999999999999994,0.8660254037844387
4,Five Points,2000-01-31,188674.759005482,2000,1,1,0.49999999999999994,0.8660254037844387
5,Westwood,2000-01-31,91172.12377310784,2000,1,1,0.49999999999999994,0.8660254037844387
6,Hampden South,2000-01-31,180709.34306520253,2000,1,1,0.49999999999999994,0.8660254037844387
7,Capitol Hill,2000-01-31,126761.37082922408,2000,1,1,0.49999999999999994,0.8660254037844387
8,Virginia Village,2000-01-31,173713.6461034148,2000,1,1,0.49999999999999994,0.8660254037844387
9,Washington Virginia Vale,2000-01-31,137298.76388718307,2000,1,1,0.49999999999999994,0.8660254037844387
10,Windsor,2000-01-31,75891.5011024625,2000,1,1,0.49999999999999994,0.8660254037844387
11,Mar Lee,2000-01-31,128115.39310894656,2000,1,1,0.49999999999999994,0.8660254037844387
12,Harvey Park,2000-01-31,128566.28553570076,2000,1,1,0.49999999999999994,0.8660254037844387
13,Speer,2000-01-31,175445.36037709046,2000,1,1,0.49999999999999994,0.8660254037844387
14,North Park Hill,2000-01-31,175482.3167581396,2000,1,1,0.49999999999999994,0.8660254037844387
15,Highland,2000-01-31,179282.44213448963,2000,1,1,0.49999999999999994,0.8660254037844387
16,Congress Park,2000-01-31,246204.86176194687,2000,1,1,0.49999999999999994,0.8660254037844387
17,East Colfax,2000-01-31,113895.9462272442,2000,1,1,0.49999999999999994,0.8660254037844387
19,West Colfax,2000-01-31,142155.96531715523,2000,1,1,0.49999999999999994,0.8660254037844387
20,Sunnyside,2000-01-31,144417.0809312289,2000,1,1,0.49999999999999994,0.8660254037844387
21,Ruby Hill,2000-01-31,113137.524856904,2000,1,1,0.49999999999999994,0.8660254037844387
22,University,2000-01-31,186882.95325272775,2000,1,1,0.49999999999999994,0.8660254037844387
24,West Highland,2000-01-31,209155.3713552322,2000,1,1,0.49999999999999994,0.8660254037844387
25,South Park Hill,2000-01-31,283657.8815800365,2000,1,1,0.49999999999999994,0.8660254037844387
26,Berkeley,2000-01-31,184101.806241764,2000,1,1,0.49999999999999994,0.8660254037844387
27,Northeast Park Hill,2000-01-31,116986.22017288853,2000,1,1,0.49999999999999994,0.8660254037844387
28,Harvey Park South,2000-01-31,162304.92837807123,2000,1,1,0.49999999999999994,0.8660254037844387
29,Cheesman Park,2000-01-31,159832.96554088205,2000,1,1,0.49999999999999994,0.8660254037844387
30,Athmar Park,2000-01-31,128427.71629205532,2000,1,1,0.49999999999999994,0.8660254037844387
31,Villa Park,2000-01-31,95838.8298855356,2000,1,1,0.49999999999999994,0.8660254037844387
32,Fort Logan,2000-01-31,182111.6648202499,2000,1,1,0.49999999999999994,0.8660254037844387
33,Hale,2000-01-31,184357.0600619323,2000,1,1,0.49999999999999994,0.8660254037844387
34,Union Station,2000-01-31,323822.27396290324,2000,1,1,0.49999999999999994,0.8660254037844387
35,College View - South Platte,2000-01-31,113198.35754089674,2000,1,1,0.49999999999999994,0.8660254037844387
36,Bear Valley,2000-01-31,163759.31499479274,2000,1,1,0.49999999999999994,0.8660254037844387
37,Sloan Lake,2000-01-31,196778.44659559496,2000,1,1,0.49999999999999994,0.8660254037844387
38,University Park,2000-01-31,339062.1677471747,2000,1,1,0.49999999999999994,0.8660254037844387
39,Hilltop,2000-01-31,429461.9505951365,2000,1,1,0.49999999999999994,0.8660254037844387
40,Washington Park West,2000-01-31,259157.633949084,2000,1,1,0.49999999999999994,0.8660254037844387
41,Washington Park,2000-01-31,336801.8508151264,2000,1,1,0.49999999999999994,0.8660254037844387
42,North Capitol Hill,2000-01-31,208804.0040860852,2000,1,1,0.49999999999999994,0.8660254037844387
43,University Hills,2000-01-31,171378.02660547677,2000,1,1,0.49999999999999994,0.8660254037844387
44,Cherry Creek,2000-01-31,434393.1352534613,2000,1,1,0.49999999999999994,0.8660254037844387
45,Elyria Swansea,2000-01-31,109781.31738310016,2000,1,1,0.49999999999999994,0.8660254037844387
46,Platt Park,2000-01-31,234793.848666451,2000,1,1,0.49999999999999994,0.8660254037844387
47,Lincoln Park,2000-01-31,118148.24854860148,2000,1,1,0.49999999999999994,0.8660254037844387
48,Baker,2000-01-31,159758.74887016547,2000,1,1,0.49999999999999994,0.8660254037844387
49,Montclair,2000-01-31,221415.96926914176,2000,1,1,0.49999999999999994,0.8660254037844387
50,Southmoor Park,2000-01-31,242309.6510933721,2000,1,1,0.49999999999999994,0.8660254037844387
51,Goldsmith,2000-01-31,143162.92273084828,2000,1,1,0.49999999999999994,0.8660254037844387
52,Barnum,2000-01-31,110308.35612457564,2000,1,1,0.49999999999999994,0.8660254037844387
53,City Park West,2000-01-31,203466.262977107,2000,1,1,0.49999999999999994,0.8660254037844387
54,Barnum West,2000-01-31,106052.26696036888,2000,1,1,0.49999999999999994,0.8660254037844387
55,Whittier,2000-01-31,158016.3161225215,2000,1,1,0.49999999999999994,0.8660254037844387
56,Regis,2000-01-31,146921.368304619,2000,1,1,0.49999999999999994,0.8660254037844387
57,Central Business District,2000-01-31,215094.605941561,2000,1,1,0.49999999999999994,0.8660254037844387
58,Cole,2000-01-31,125689.07424315634,2000,1,1,0.49999999999999994,0.8660254037844387
59,Clayton,2000-01-31,116807.40699661724,2000,1,1,0.49999999999999994,0.8660254037844387
60,Belcaro,2000-01-31,444057.41130663065,2000,1,1,0.49999999999999994,0.8660254037844387
61,Valverde,2000-01-31,99718.68759089016,2000,1,1,0.49999999999999994,0.8660254037844387
62,Cory - Merrill,2000-01-31,297274.8314189365,2000,1,1,0.49999999999999994,0.8660254037844387
63,Globeville,2000-01-31,66600.54766537543,2000,1,1,0.49999999999999994,0.8660254037844387
64,Indian Creek,2000-01-31,155268.6012348035,2000,1,1,0.49999999999999994,0.8660254037844387
65,Jefferson Park,2000-01-31,149441.92216656732,2000,1,1,0.49999999999999994,0.8660254037844387
66,City Park,2000-01-31,228139.16934673503,2000,1,1,0.49999999999999994,0.8660254037844387
67,Chaffee Park,2000-01-31,103409.17861832838,2000,1,1,0.49999999999999994,0.8660254037844387
68,Skyland,2000-01-31,135488.49021415523,2000,1,1,0.49999999999999994,0.8660254037844387
69,Overland,2000-01-31,146605.01408337805,2000,1,1,0.49999999999999994,0.8660254037844387
70,Wellshire,2000-01-31,316123.90352991945,2000,1,1,0.49999999999999994,0.8660254037844387
71,Country Club,2000-01-31,509231.3967938516,2000,1,1,0.49999999999999994,0.8660254037844387
73,Rosedale,2000-01-31,204268.61050477583,2000,1,1,0.49999999999999994,0.8660254037844387
76,Gateway - Green Valley Ranch,2000-02-29,159765.32521049495,2000,2,2,0.8660254037844386,0.5000000000000001
77,Montbello,2000-02-29,127119.79382264648,2000,2,2,0.8660254037844386,0.5000000000000001
79,Hampden,2000-02-29,166995.83844700392,2000,2,2,0.8660254037844386,0.5000000000000001
80,Five Points,2000-02-29,190474.15980836967,2000,2,2,0.8660254037844386,0.5000000000000001
81,Westwood,2000-02-29,91789.76094622718,2000,2,2,0.8660254037844386,0.5000000000000001
82,Hampden South,2000-02-29,181759.50719637584,2000,2,2,0.8660254037844386,0.5000000000000001
83,Capitol Hill,2000-02-29,127478.25879313744,2000,2,2,0.8660254037844386,0.5000000000000001
84,Virginia Village,2000-02-29,174735.53182340742,2000,2,2,0.8660254037844386,0.5000000000000001
85,Washington Virginia Vale,2000-02-29,138225.49878331425,2000,2,2,0.8660254037844386,0.5000000000000001
86,Windsor,2000-02-29,76223.89391441068,2000,2,2,0.8660254037844386,0.5000000000000001
87,Mar Lee,2000-02-29,128850.66340482468,2000,2,2,0.8660254037844386,0.5000000000000001
88,Harvey Park,2000-02-29,129497.38571289238,2000,2,2,0.8660254037844386,0.5000000000000001
89,Speer,2000-02-29,176344.38433398696,2000,2,2,0.8660254037844386,0.5000000000000001
90,North Park Hill,2000-02-29,176831.39349044906,2000,2,2,0.8660254037844386,0.5000000000000001
91,Highland,2000-02-29,180844.0105736017,2000,2,2,0.8660254037844386,0.5000000000000001
92,Congress Park,2000-02-29,247731.8367507148,2000,2,2,0.8660254037844386,0.5000000000000001
93,East Colfax,2000-02-29,114794.70031604083,2000,2,2,0.8660254037844386,0.5000000000000001
95,West Colfax,2000-02-29,143325.58845519737,2000,2,2,0.8660254037844386,0.5000000000000001
96,Sunnyside,2000-02-29,145445.13604193338,2000,2,2,0.8660254037844386,0.5000000000000001
97,Ruby Hill,2000-02-29,113813.93279073336,2000,2,2,0.8660254037844386,0.5000000000000001
98,University,2000-02-29,188117.59385896663,2000,2,2,0.8660254037844386,0.5000000000000001
100,West Highland,2000-02-29,210230.81091888857,2000,2,2,0.8660254037844386,0.5000000000000001
101,South Park Hill,2000-02-29,285478.83217531536,2000,2,2,0.8660254037844386,0.5000000000000001
102,Berkeley,2000-02-29,184971.51940082287,2000,2,2,0.8660254037844386,0.5000000000000001
103,Northeast Park Hill,2000-02-29,117787.86380804918,2000,2,2,0.8660254037844386,0.5000000000000001
