Year,Neighborhood,Prophet Forecasted Home Value,YoY_Growth
2033,Whittier,1003210.9,3.41
2033,Windsor,374111.34,3.4
2034,Athmar Park,722061.25,3.48
2034,Auraria,639099.92,-2.67
2034,Baker,856842.32,2.71
2034,Barnum,661427.76,3.53
2034,Barnum West,690714.12,3.64
2034,Bear Valley,869360.82,3.68
2034,Belcaro,2354678.35,3.95
2034,Berkeley,1207900.69,3.53
2034,Berkley,515767.0,0.54
2034,Capitol Hill,449724.42,2.12
2034,Central Business District,480447.02,0.97
2034,Central Park,1225287.76,3.28
2034,Chaffee Park,758814.97,3.53
2034,Cheesman Park,560440.06,2.08
2034,Cherry Creek,1726261.68,3.24
2034,City Park,1084550.94,2.9
2034,City Park West,900707.63,2.66
2034,Civic Center,689460.5,1.14
2034,Clayton,733027.1,2.99
2034,Cole,847146.99,3.17
2034,College View - South Platte,679271.26,3.65
2034,Congress Park,1247197.62,3.31
2034,Cory - Merrill,1411599.25,3.48
2034,Country Club,2681664.7,3.85
2034,Denver International Airport,554074.43,2.89
2034,East Colfax,660702.51,3.26
2034,Elyria Swansea,582016.35,3.5
2034,Five Points,868101.45,2.7
2034,Fort Logan,924305.99,3.7
2034,Gateway - Green Valley Ranch,811248.1,3.81
2034,Globeville,591071.7,3.24
2034,Goldsmith,754635.4,3.37
2034,Hale,984013.73,3.26
2034,Hampden,828863.79,3.52
2034,Hampden South,791502.58,3.32
2034,Harvey Park,794683.2,3.66
2034,Harvey Park South,874379.46,3.6
2034,Highland,1150367.09,3.34
2034,Hilltop,2678935.97,4.34
2034,Indian Creek,604634.47,3.31
2034,Jefferson Park,1069187.45,3.45
2034,Lincoln Park,631195.18,2.6
2034,Lowry Field,1235679.31,3.21
2034,Mar Lee,702310.29,3.59
2034,Montbello,717503.78,3.75
2034,Montclair,1087378.83,3.45
2034,North Capitol Hill,650892.41,2.13
2034,North Park Hill,1057010.7,3.43
2034,Northeast Park Hill,732864.24,3.22
2034,Overland,809548.38,3.38
2034,Platt Park,1300838.07,3.42
2034,Regis,944565.73,3.58
2034,Rosedale,1088823.81,3.41
2034,Ruby Hill,703673.27,3.52
2034,Skyland,915194.7,3.23
2034,Sloan Lake,1308786.07,3.57
2034,South Park Hill,1491135.16,3.6
2034,Southmoor Park,1138514.66,3.6
2034,Speer,764332.63,2.72
2034,Sunnyside,1077793.22,3.6
2034,Union Station,799286.71,1.39
2034,University,1046629.43,3.33
2034,University Hills,915535.57,3.52
2034,University Park,1703408.4,3.77
2034,Valverde,640864.13,3.43
2034,Villa Park,690520.83,3.53
2034,Virginia Village,983288.86,3.52
2034,Washington Park,1980877.8,3.86
2034,Washington Park West,1336913.7,3.37
2034,Washington Virginia Vale,761394.46,3.48
2034,Wellshire,1918846.96,4.12
2034,West Colfax,1076089.01,3.41
2034,West Highland,1266365.52,3.5
2034,Westwood,604878.67,3.53
2034,Whittier,1035658.7,3.23
2034,Windsor,386344.82,3.27
2035,Athmar Park,735104.54,1.81
2035,Auraria,626140.17,-2.03
2035,Baker,868077.52,1.31
2035,Barnum,673383.2,1.81
2035,Barnum West,703605.67,1.87
2035,Bear Valley,886182.04,1.93
2035,Belcaro,2403640.13,2.08
2035,Berkeley,1229960.96,1.83
2035,Berkley,514921.41,-0.16
2035,Capitol Hill,454474.05,1.06
2035,Central Business District,482496.41,0.43
2035,Central Park,1245253.09,1.63
2035,Chaffee Park,772903.76,1.86
2035,Cheesman Park,566359.0,1.06
2035,Cherry Creek,1754707.9,1.65
2035,City Park,1100792.53,1.5
2035,City Park West,912461.04,1.3
2035,Civic Center,693117.85,0.53
2035,Clayton,743931.77,1.49
2035,Cole,860416.66,1.57
2035,College View - South Platte,692259.31,1.91
2035,Congress Park,1268395.74,1.7
2035,Cory - Merrill,1436664.16,1.78
2035,Country Club,2736004.06,2.03
2035,Denver International Airport,562204.26,1.47
2035,East Colfax,672037.6,1.72
2035,Elyria Swansea,592490.62,1.8
2035,Five Points,879878.68,1.36
2035,Fort Logan,942416.64,1.96
2035,Gateway - Green Valley Ranch,827368.25,1.99
2035,Globeville,601044.15,1.69
2035,Goldsmith,767783.73,1.74
2035,Hale,1000414.0,1.67
2035,Hampden,844043.76,1.83
2035,Hampden South,805040.96,1.71
2035,Harvey Park,809808.3,1.9
2035,Harvey Park South,890803.75,1.88
2035,Highland,1169672.12,1.68
2035,Hilltop,2739044.81,2.24
2035,Indian Creek,614276.59,1.59
2035,Jefferson Park,1087768.44,1.74
2035,Lincoln Park,639073.48,1.25
2035,Lowry Field,1256163.62,1.66
2035,Mar Lee,715104.67,1.82
2035,Montbello,731601.27,1.96
2035,Montclair,1106551.9,1.76
2035,North Capitol Hill,657826.42,1.07
2035,North Park Hill,1075659.88,1.76
2035,Northeast Park Hill,745046.3,1.66
2035,Overland,823888.99,1.77
2035,Platt Park,1323581.2,1.75
2035,Regis,962080.84,1.85
2035,Rosedale,1108059.78,1.77
2035,Ruby Hill,716670.87,1.85
2035,Skyland,930375.38,1.66
2035,Sloan Lake,1332441.11,1.81
2035,South Park Hill,1519027.71,1.87
2035,Southmoor Park,1159981.02,1.89
2035,Speer,774874.84,1.38
2035,Sunnyside,1097663.3,1.84
2035,Union Station,805064.5,0.72
2035,University,1064493.39,1.71
2035,University Hills,931919.82,1.79
2035,University Park,1736615.17,1.95
2035,Valverde,652085.2,1.75
2035,Villa Park,702961.43,1.8
2035,Virginia Village,1001263.93,1.83
2035,Washington Park,2020355.46,1.99
2035,Washington Park West,1359985.38,1.73
2035,Washington Virginia Vale,775203.98,1.81
2035,Wellshire,1959848.99,2.14
2035,West Colfax,1094570.17,1.72
2035,West Highland,1289056.48,1.79
2035,Westwood,615806.08,1.81
2035,Whittier,1052198.37,1.6
2035,Windsor,392611.85,1.62
