Year,Neighborhood,Prophet Forecasted Home Value,YoY_Growth
2026,Central Park,913573.92,4.45
2026,Chaffee Park,551912.25,4.91
2026,Cheesman Park,469045.04,2.49
2026,Cherry Creek,1292040.59,4.38
2026,City Park,839651.69,3.78
2026,City Park West,714102.38,3.37
2026,Civic Center,627309.67,1.25
2026,Clayton,562685.81,3.93
2026,Cole,638771.56,4.25
2026,College View - South Platte,487852.22,5.15
2026,Congress Park,927745.35,4.49
2026,Cory - Merrill,1031828.44,4.82
2026,Country Club,1886381.06,5.56
2026,Denver International Airport,429319.01,3.77
2026,East Colfax,493609.76,4.41
2026,Elyria Swansea,424591.0,4.86
2026,Five Points,685667.39,3.44
2026,Fort Logan,660059.46,5.26
2026,Gateway - Green Valley Ranch,573031.84,5.48
2026,Globeville,442594.82,4.37
2026,Goldsmith,557873.48,4.61
2026,Hale,735196.73,4.41
2026,Hampden,602995.36,4.91
2026,Hampden South,587897.81,4.52
2026,Harvey Park,569996.57,5.18
2026,Harvey Park South,631006.12,5.06
2026,Highland,853133.61,4.55
2026,Hilltop,1787386.76,6.65
2026,Indian Creek,449672.86,4.5
2026,Jefferson Park,783562.54,4.77
2026,Lincoln Park,502934.76,3.29
2026,Lowry Field,928034.95,4.32
2026,Mar Lee,507368.86,5.04
2026,Montbello,509730.42,5.36
2026,Montclair,797133.61,4.76
2026,North Capitol Hill,542168.37,2.57
2026,North Park Hill,776268.77,4.73
2026,Northeast Park Hill,549812.42,4.34
2026,Overland,597512.84,4.64
2026,Platt Park,956651.21,4.71
2026,Regis,683449.52,5.01
2026,Rosedale,801245.36,4.69
2026,Ruby Hill,511946.65,4.91
2026,Skyland,686156.87,4.35
2026,Sloan Lake,947322.88,5.01
2026,South Park Hill,1076219.03,5.06
2026,Southmoor Park,821865.87,5.06
2026,Speer,602522.27,3.47
2026,Sunnyside,778245.21,5.05
2026,Union Station,711548.46,1.56
2026,University,776554.23,4.54
2026,University Hills,666635.12,4.89
2026,University Park,1207500.45,5.41
2026,Valverde,470550.97,4.73
2026,Villa Park,502041.51,4.92
2026,Virginia Village,715873.32,4.89
2026,Washington Park,1392058.46,5.58
2026,Washington Park West,988152.35,4.61
2026,Washington Virginia Vale,556630.96,4.82
2026,Wellshire,1311391.72,6.14
2026,West Colfax,791707.11,4.7
2026,West Highland,923237.07,4.87
2026,Westwood,439916.8,4.91
2026,Whittier,775912.96,4.36
2026,Windsor,288434.15,4.43
2027,Athmar Park,552057.82,4.6
2027,Auraria,761973.01,-2.25
2027,Baker,698183.76,3.35
2027,Barnum,503498.59,4.69
2027,Barnum West,520589.54,4.89
2027,Bear Valley,653215.53,4.96
2027,Belcaro,1728324.83,5.46
2027,Berkeley,919336.84,4.69
2027,Berkley,496357.03,0.56
2027,Capitol Hill,384396.18,2.49
2027,Central Business District,448155.56,1.04
2027,Central Park,952509.99,4.26
2027,Chaffee Park,577753.5,4.68
2027,Cheesman Park,480456.67,2.43
2027,Cherry Creek,1346288.16,4.2
2027,City Park,870236.45,3.64
2027,City Park West,737410.46,3.26
2027,Civic Center,635068.53,1.24
2027,Clayton,583964.83,3.78
2027,Cole,664798.66,4.07
2027,College View - South Platte,511758.07,4.9
2027,Congress Park,967648.34,4.3
2027,Cory - Merrill,1079267.32,4.6
2027,Country Club,1985719.89,5.27
2027,Denver International Airport,444899.49,3.63
2027,East Colfax,514477.42,4.23
2027,Elyria Swansea,444254.51,4.63
2027,Five Points,708456.38,3.32
2027,Fort Logan,693062.51,5.0
2027,Gateway - Green Valley Ranch,602787.11,5.19
2027,Globeville,461137.97,4.19
2027,Goldsmith,582449.71,4.41
2027,Hale,766272.37,4.23
2027,Hampden,631206.1,4.68
2027,Hampden South,613328.43,4.33
2027,Harvey Park,598059.99,4.92
2027,Harvey Park South,661400.87,4.82
2027,Highland,890263.62,4.35
2027,Hilltop,1898764.72,6.23
2027,Indian Creek,469034.28,4.31
2027,Jefferson Park,819246.84,4.55
2027,Lincoln Park,518954.33,3.19
2027,Lowry Field,966460.43,4.14
2027,Mar Lee,531718.13,4.8
2027,Montbello,535680.77,5.09
2027,Montclair,833386.58,4.55
2027,North Capitol Hill,555748.81,2.5
2027,North Park Hill,811335.07,4.52
2027,Northeast Park Hill,572676.15,4.16
2027,Overland,623994.22,4.43
2027,Platt Park,999641.97,4.49
2027,Regis,716064.65,4.77
2027,Rosedale,837162.7,4.48
2027,Ruby Hill,535890.38,4.68
2027,Skyland,714763.81,4.17
2027,Sloan Lake,992475.98,4.77
2027,South Park Hill,1128046.34,4.82
2027,Southmoor Park,861420.06,4.81
2027,Speer,622730.99,3.35
2027,Sunnyside,815660.7,4.81
2027,Union Station,722498.84,1.54
2027,University,810284.94,4.34
2027,University Hills,697724.19,4.66
2027,University Park,1269447.82,5.13
2027,Valverde,491821.22,4.52
2027,Villa Park,525581.38,4.69
2027,Virginia Village,749274.9,4.67
2027,Washington Park,1465611.12,5.28
2027,Washington Park West,1031716.2,4.41
2027,Washington Virginia Vale,582205.47,4.59
2027,Wellshire,1387276.39,5.79
2027,West Colfax,827230.98,4.49
2027,West Highland,966095.79,4.64
2027,Westwood,460520.7,4.68
2027,Whittier,808359.36,4.18
2027,Windsor,300667.61,4.24
2028,Athmar Park,575893.51,4.32
2028,Auraria,744871.89,-2.24
2028,Baker,720291.83,3.17
2028,Barnum,525529.09,4.38
2028,Barnum West,544515.27,4.6
2028,Bear Valley,683642.43,4.66
2028,Belcaro,1816496.29,5.1
2028,Berkeley,960041.44,4.43
2028,Berkley,499391.99,0.61
2028,Capitol Hill,393492.89,2.37
2028,Central Business District,452551.1,0.98
2028,Central Park,991178.11,4.06
2028,Chaffee Park,603006.47,4.37
2028,Cheesman Park,491424.6,2.28
2028,Cherry Creek,1399634.13,3.96
2028,City Park,900073.49,3.43
