,RegionID,Neighborhood,City,Year,Value
0,6018,Montbello,Denver,2000,134737.0
1,6018,Montbello,Denver,2001,155990.0
2,6018,Montbello,Denver,2002,167373.0
3,6018,Montbello,Denver,2003,169344.0
4,6018,Montbello,Denver,2004,170715.0
5,6018,Montbello,Denver,2005,171012.0
6,6018,Montbello,Denver,2006,168225.0
7,6018,Montbello,Denver,2007,160938.0
8,6018,Montbello,Denver,2008,134205.0
9,6018,Montbello,Denver,2009,119202.0
10,6018,Montbello,Denver,2010,123873.0
11,6018,Montbello,Denver,2011,112676.0
12,6018,Montbello,Denver,2012,118087.0
13,6018,Montbello,Denver,2013,141687.0
14,6018,Montbello,Denver,2014,165298.0
15,6018,Montbello,Denver,2015,201808.0
16,6018,Montbello,Denver,2016,240279.0
17,6018,Montbello,Denver,2017,268027.0
18,6018,Montbello,Denver,2018,296224.0
19,6018,Montbello,Denver,2019,314528.0
20,6018,Montbello,Denver,2020,338943.0
21,6018,Montbello,Denver,2021,390656.0
22,6018,Montbello,Denver,2022,442289.0
23,6018,Montbello,Denver,2023,433477.0
24,6018,Montbello,Denver,2024,438896.0
25,6018,Montbello,Denver,2025,434678.0
26,12803,Montclair,Denver,2000,237205.0
27,12803,Montclair,Denver,2001,269018.0
28,12803,Montclair,Denver,2002,281819.0
29,12803,Montclair,Denver,2003,282207.0
30,12803,Montclair,Denver,2004,286922.0
31,12803,Montclair,Denver,2005,301260.0
32,12803,Montclair,Denver,2006,316433.0
33,12803,Montclair,Denver,2007,320850.0
34,12803,Montclair,Denver,2008,317873.0
35,12803,Montclair,Denver,2009,308110.0
36,12803,Montclair,Denver,2010,307469.0
37,12803,Montclair,Denver,2011,291396.0
38,12803,Montclair,Denver,2012,294982.0
39,12803,Montclair,Denver,2013,328026.0
40,12803,Montclair,Denver,2014,356598.0
41,12803,Montclair,Denver,2015,401257.0
42,12803,Montclair,Denver,2016,437966.0
43,12803,Montclair,Denver,2017,467446.0
44,12803,Montclair,Denver,2018,504293.0
45,12803,Montclair,Denver,2019,527183.0
46,12803,Montclair,Denver,2020,556664.0
47,12803,Montclair,Denver,2021,635951.0
48,12803,Montclair,Denver,2022,715095.0
49,12803,Montclair,Denver,2023,694637.0
50,12803,Montclair,Denver,2024,688950.0
51,12803,Montclair,Denver,2025,681470.0
52,40932,Skyland,Denver,2000,145859.0
53,40932,Skyland,Denver,2001,171162.0
54,40932,Skyland,Denver,2002,188622.0
55,40932,Skyland,Denver,2003,192209.0
56,40932,Skyland,Denver,2004,194054.0
57,40932,Skyland,Denver,2005,202736.0
58,40932,Skyland,Denver,2006,209028.0
59,40932,Skyland,Denver,2007,209878.0
60,40932,Skyland,Denver,2008,197065.0
61,40932,Skyland,Denver,2009,193822.0
62,40932,Skyland,Denver,2010,199822.0
63,40932,Skyland,Denver,2011,192693.0
64,40932,Skyland,Denver,2012,204005.0
65,40932,Skyland,Denver,2013,242243.0
66,40932,Skyland,Denver,2014,278562.0
67,40932,Skyland,Denver,2015,330069.0
68,40932,Skyland,Denver,2016,369106.0
69,40932,Skyland,Denver,2017,403337.0
70,40932,Skyland,Denver,2018,441891.0
71,40932,Skyland,Denver,2019,464819.0
72,40932,Skyland,Denver,2020,492785.0
73,40932,Skyland,Denver,2021,558747.0
74,40932,Skyland,Denver,2022,625057.0
75,40932,Skyland,Denver,2023,602959.0
76,40932,Skyland,Denver,2024,599998.0
77,40932,Skyland,Denver,2025,591824.0
78,42385,Indian Creek,Denver,2000,163801.0
79,42385,Indian Creek,Denver,2001,185234.0
80,42385,Indian Creek,Denver,2002,197516.0
81,42385,Indian Creek,Denver,2003,196948.0
82,42385,Indian Creek,Denver,2004,198324.0
83,42385,Indian Creek,Denver,2005,202311.0
84,42385,Indian Creek,Denver,2006,203002.0
85,42385,Indian Creek,Denver,2007,197883.0
86,42385,Indian Creek,Denver,2008,182440.0
87,42385,Indian Creek,Denver,2009,159199.0
88,42385,Indian Creek,Denver,2010,152987.0
89,42385,Indian Creek,Denver,2011,157176.0
90,42385,Indian Creek,Denver,2012,163558.0
91,42385,Indian Creek,Denver,2013,174893.0
92,42385,Indian Creek,Denver,2014,192038.0
93,42385,Indian Creek,Denver,2015,218464.0
94,42385,Indian Creek,Denver,2016,248546.0
95,42385,Indian Creek,Denver,2017,275810.0
96,42385,Indian Creek,Denver,2018,298066.0
97,42385,Indian Creek,Denver,2019,307315.0
98,42385,Indian Creek,Denver,2020,316375.0
99,42385,Indian Creek,Denver,2021,352055.0
100,42385,Indian Creek,Denver,2022,409866.0
101,42385,Indian Creek,Denver,2023,404074.0
102,42385,Indian Creek,Denver,2024,387955.0
103,42385,Indian Creek,Denver,2025,377420.0
104,45614,Hale,Denver,2000,198455.0
